Date,CPI
2013-09-01,233.544
2013-09-02,233.544
2013-09-03,233.544
2013-09-04,233.544
2013-09-05,233.544
2013-09-06,233.544
2013-09-07,233.544
2013-09-08,233.544
2013-09-09,233.544
2013-09-10,233.544
2013-09-11,233.544
2013-09-12,233.544
2013-09-13,233.544
2013-09-14,233.544
2013-09-15,233.544
2013-09-16,233.544
2013-09-17,233.544
2013-09-18,233.544
2013-09-19,233.544
2013-09-20,233.544
2013-09-21,233.544
2013-09-22,233.544
2013-09-23,233.544
2013-09-24,233.544
2013-09-25,233.544
2013-09-26,233.544
2013-09-27,233.544
2013-09-28,233.544
2013-09-29,233.544
2013-09-30,233.544
2013-10-01,233.669
2013-10-02,233.669
2013-10-03,233.669
2013-10-04,233.669
2013-10-05,233.669
2013-10-06,233.669
2013-10-07,233.669
2013-10-08,233.669
2013-10-09,233.669
2013-10-10,233.669
2013-10-11,233.669
2013-10-12,233.669
2013-10-13,233.669
2013-10-14,233.669
2013-10-15,233.669
2013-10-16,233.669
2013-10-17,233.669
2013-10-18,233.669
2013-10-19,233.669
2013-10-20,233.669
2013-10-21,233.669
2013-10-22,233.669
2013-10-23,233.669
2013-10-24,233.669
2013-10-25,233.669
2013-10-26,233.669
2013-10-27,233.669
2013-10-28,233.669
2013-10-29,233.669
2013-10-30,233.669
2013-10-31,233.669
2013-11-01,234.1
2013-11-02,234.1
2013-11-03,234.1
2013-11-04,234.1
2013-11-05,234.1
2013-11-06,234.1
2013-11-07,234.1
2013-11-08,234.1
2013-11-09,234.1
2013-11-10,234.1
2013-11-11,234.1
2013-11-12,234.1
2013-11-13,234.1
2013-11-14,234.1
2013-11-15,234.1
2013-11-16,234.1
2013-11-17,234.1
2013-11-18,234.1
2013-11-19,234.1
2013-11-20,234.1
2013-11-21,234.1
2013-11-22,234.1
2013-11-23,234.1
2013-11-24,234.1
2013-11-25,234.1
2013-11-26,234.1
2013-11-27,234.1
2013-11-28,234.1
2013-11-29,234.1
2013-11-30,234.1
2013-12-01,234.719
2013-12-02,234.719
2013-12-03,234.719
2013-12-04,234.719
2013-12-05,234.719
2013-12-06,234.719
2013-12-07,234.719
2013-12-08,234.719
2013-12-09,234.719
2013-12-10,234.719
2013-12-11,234.719
2013-12-12,234.719
2013-12-13,234.719
2013-12-14,234.719
2013-12-15,234.719
2013-12-16,234.719
2013-12-17,234.719
2013-12-18,234.719
2013-12-19,234.719
2013-12-20,234.719
2013-12-21,234.719
2013-12-22,234.719
2013-12-23,234.719
2013-12-24,234.719
2013-12-25,234.719
2013-12-26,234.719
2013-12-27,234.719
2013-12-28,234.719
2013-12-29,234.719
2013-12-30,234.719
2013-12-31,234.719
2014-01-01,235.288
2014-01-02,235.288
2014-01-03,235.288
2014-01-04,235.288
2014-01-05,235.288
2014-01-06,235.288
2014-01-07,235.288
2014-01-08,235.288
2014-01-09,235.288
2014-01-10,235.288
2014-01-11,235.288
2014-01-12,235.288
2014-01-13,235.288
2014-01-14,235.288
2014-01-15,235.288
2014-01-16,235.288
2014-01-17,235.288
2014-01-18,235.288
2014-01-19,235.288
2014-01-20,235.288
2014-01-21,235.288
2014-01-22,235.288
2014-01-23,235.288
2014-01-24,235.288
2014-01-25,235.288
2014-01-26,235.288
2014-01-27,235.288
2014-01-28,235.288
2014-01-29,235.288
2014-01-30,235.288
2014-01-31,235.288
2014-02-01,235.547
2014-02-02,235.547
2014-02-03,235.547
2014-02-04,235.547
2014-02-05,235.547
2014-02-06,235.547
2014-02-07,235.547
2014-02-08,235.547
2014-02-09,235.547
2014-02-10,235.547
2014-02-11,235.547
2014-02-12,235.547
2014-02-13,235.547
2014-02-14,235.547
2014-02-15,235.547
2014-02-16,235.547
2014-02-17,235.547
2014-02-18,235.547
2014-02-19,235.547
2014-02-20,235.547
2014-02-21,235.547
2014-02-22,235.547
2014-02-23,235.547
2014-02-24,235.547
2014-02-25,235.547
2014-02-26,235.547
2014-02-27,235.547
2014-02-28,235.547
2014-03-01,236.028
2014-03-02,236.028
2014-03-03,236.028
2014-03-04,236.028
2014-03-05,236.028
2014-03-06,236.028
2014-03-07,236.028
2014-03-08,236.028
2014-03-09,236.028
2014-03-10,236.028
2014-03-11,236.028
2014-03-12,236.028
2014-03-13,236.028
2014-03-14,236.028
2014-03-15,236.028
2014-03-16,236.028
2014-03-17,236.028
2014-03-18,236.028
2014-03-19,236.028
2014-03-20,236.028
2014-03-21,236.028
2014-03-22,236.028
2014-03-23,236.028
2014-03-24,236.028
2014-03-25,236.028
2014-03-26,236.028
2014-03-27,236.028
2014-03-28,236.028
2014-03-29,236.028
2014-03-30,236.028
2014-03-31,236.028
2014-04-01,236.468
2014-04-02,236.468
2014-04-03,236.468
2014-04-04,236.468
2014-04-05,236.468
2014-04-06,236.468
2014-04-07,236.468
2014-04-08,236.468
2014-04-09,236.468
2014-04-10,236.468
2014-04-11,236.468
2014-04-12,236.468
2014-04-13,236.468
2014-04-14,236.468
2014-04-15,236.468
2014-04-16,236.468
2014-04-17,236.468
2014-04-18,236.468
2014-04-19,236.468
2014-04-20,236.468
2014-04-21,236.468
2014-04-22,236.468
2014-04-23,236.468
2014-04-24,236.468
2014-04-25,236.468
2014-04-26,236.468
2014-04-27,236.468
2014-04-28,236.468
2014-04-29,236.468
2014-04-30,236.468
2014-05-01,236.918
2014-05-02,236.918
2014-05-03,236.918
2014-05-04,236.918
2014-05-05,236.918
2014-05-06,236.918
2014-05-07,236.918
2014-05-08,236.918
2014-05-09,236.918
2014-05-10,236.918
2014-05-11,236.918
2014-05-12,236.918
2014-05-13,236.918
2014-05-14,236.918
2014-05-15,236.918
2014-05-16,236.918
2014-05-17,236.918
2014-05-18,236.918
2014-05-19,236.918
2014-05-20,236.918
2014-05-21,236.918
2014-05-22,236.918
2014-05-23,236.918
2014-05-24,236.918
2014-05-25,236.918
2014-05-26,236.918
2014-05-27,236.918
2014-05-28,236.918
2014-05-29,236.918
2014-05-30,236.918
2014-05-31,236.918
2014-06-01,237.231
2014-06-02,237.231
2014-06-03,237.231
2014-06-04,237.231
2014-06-05,237.231
2014-06-06,237.231
2014-06-07,237.231
2014-06-08,237.231
2014-06-09,237.231
2014-06-10,237.231
2014-06-11,237.231
2014-06-12,237.231
2014-06-13,237.231
2014-06-14,237.231
2014-06-15,237.231
2014-06-16,237.231
2014-06-17,237.231
2014-06-18,237.231
2014-06-19,237.231
2014-06-20,237.231
2014-06-21,237.231
2014-06-22,237.231
2014-06-23,237.231
2014-06-24,237.231
2014-06-25,237.231
2014-06-26,237.231
2014-06-27,237.231
2014-06-28,237.231
2014-06-29,237.231
2014-06-30,237.231
2014-07-01,237.498
2014-07-02,237.498
2014-07-03,237.498
2014-07-04,237.498
2014-07-05,237.498
2014-07-06,237.498
2014-07-07,237.498
2014-07-08,237.498
2014-07-09,237.498
2014-07-10,237.498
2014-07-11,237.498
2014-07-12,237.498
2014-07-13,237.498
2014-07-14,237.498
2014-07-15,237.498
2014-07-16,237.498
2014-07-17,237.498
2014-07-18,237.498
2014-07-19,237.498
2014-07-20,237.498
2014-07-21,237.498
2014-07-22,237.498
2014-07-23,237.498
2014-07-24,237.498
2014-07-25,237.498
2014-07-26,237.498
2014-07-27,237.498
2014-07-28,237.498
2014-07-29,237.498
2014-07-30,237.498
2014-07-31,237.498
2014-08-01,237.46
2014-08-02,237.46
2014-08-03,237.46
2014-08-04,237.46
2014-08-05,237.46
2014-08-06,237.46
2014-08-07,237.46
2014-08-08,237.46
2014-08-09,237.46
2014-08-10,237.46
2014-08-11,237.46
2014-08-12,237.46
2014-08-13,237.46
2014-08-14,237.46
2014-08-15,237.46
2014-08-16,237.46
2014-08-17,237.46
2014-08-18,237.46
2014-08-19,237.46
2014-08-20,237.46
2014-08-21,237.46
2014-08-22,237.46
2014-08-23,237.46
2014-08-24,237.46
2014-08-25,237.46
2014-08-26,237.46
2014-08-27,237.46
2014-08-28,237.46
2014-08-29,237.46
2014-08-30,237.46
2014-08-31,237.46
2014-09-01,237.477
2014-09-02,237.477
2014-09-03,237.477
2014-09-04,237.477
2014-09-05,237.477
2014-09-06,237.477
2014-09-07,237.477
2014-09-08,237.477
2014-09-09,237.477
2014-09-10,237.477
2014-09-11,237.477
2014-09-12,237.477
2014-09-13,237.477
2014-09-14,237.477
2014-09-15,237.477
2014-09-16,237.477
2014-09-17,237.477
2014-09-18,237.477
2014-09-19,237.477
2014-09-20,237.477
2014-09-21,237.477
2014-09-22,237.477
2014-09-23,237.477
2014-09-24,237.477
2014-09-25,237.477
2014-09-26,237.477
2014-09-27,237.477
2014-09-28,237.477
2014-09-29,237.477
2014-09-30,237.477
2014-10-01,237.43
2014-10-02,237.43
2014-10-03,237.43
2014-10-04,237.43
2014-10-05,237.43
2014-10-06,237.43
2014-10-07,237.43
2014-10-08,237.43
2014-10-09,237.43
2014-10-10,237.43
2014-10-11,237.43
2014-10-12,237.43
2014-10-13,237.43
2014-10-14,237.43
2014-10-15,237.43
2014-10-16,237.43
2014-10-17,237.43
2014-10-18,237.43
2014-10-19,237.43
2014-10-20,237.43
2014-10-21,237.43
2014-10-22,237.43
2014-10-23,237.43
2014-10-24,237.43
2014-10-25,237.43
2014-10-26,237.43
2014-10-27,237.43
2014-10-28,237.43
2014-10-29,237.43
2014-10-30,237.43
2014-10-31,237.43
2014-11-01,236.983
2014-11-02,236.983
2014-11-03,236.983
2014-11-04,236.983
2014-11-05,236.983
2014-11-06,236.983
2014-11-07,236.983
2014-11-08,236.983
2014-11-09,236.983
2014-11-10,236.983
2014-11-11,236.983
2014-11-12,236.983
2014-11-13,236.983
2014-11-14,236.983
2014-11-15,236.983
2014-11-16,236.983
2014-11-17,236.983
2014-11-18,236.983
2014-11-19,236.983
2014-11-20,236.983
2014-11-21,236.983
2014-11-22,236.983
2014-11-23,236.983
2014-11-24,236.983
2014-11-25,236.983
2014-11-26,236.983
2014-11-27,236.983
2014-11-28,236.983
2014-11-29,236.983
2014-11-30,236.983
2014-12-01,236.252
2014-12-02,236.252
2014-12-03,236.252
2014-12-04,236.252
2014-12-05,236.252
2014-12-06,236.252
2014-12-07,236.252
2014-12-08,236.252
2014-12-09,236.252
2014-12-10,236.252
2014-12-11,236.252
2014-12-12,236.252
2014-12-13,236.252
2014-12-14,236.252
2014-12-15,236.252
2014-12-16,236.252
2014-12-17,236.252
2014-12-18,236.252
2014-12-19,236.252
2014-12-20,236.252
2014-12-21,236.252
2014-12-22,236.252
2014-12-23,236.252
2014-12-24,236.252
2014-12-25,236.252
2014-12-26,236.252
2014-12-27,236.252
2014-12-28,236.252
2014-12-29,236.252
2014-12-30,236.252
2014-12-31,236.252
2015-01-01,234.747
2015-01-02,234.747
2015-01-03,234.747
2015-01-04,234.747
2015-01-05,234.747
2015-01-06,234.747
2015-01-07,234.747
2015-01-08,234.747
2015-01-09,234.747
2015-01-10,234.747
2015-01-11,234.747
2015-01-12,234.747
2015-01-13,234.747
2015-01-14,234.747
2015-01-15,234.747
2015-01-16,234.747
2015-01-17,234.747
2015-01-18,234.747
2015-01-19,234.747
2015-01-20,234.747
2015-01-21,234.747
2015-01-22,234.747
2015-01-23,234.747
2015-01-24,234.747
2015-01-25,234.747
2015-01-26,234.747
2015-01-27,234.747
2015-01-28,234.747
2015-01-29,234.747
2015-01-30,234.747
2015-01-31,234.747
2015-02-01,235.342
2015-02-02,235.342
2015-02-03,235.342
2015-02-04,235.342
2015-02-05,235.342
2015-02-06,235.342
2015-02-07,235.342
2015-02-08,235.342
2015-02-09,235.342
2015-02-10,235.342
2015-02-11,235.342
2015-02-12,235.342
2015-02-13,235.342
2015-02-14,235.342
2015-02-15,235.342
2015-02-16,235.342
2015-02-17,235.342
2015-02-18,235.342
2015-02-19,235.342
2015-02-20,235.342
2015-02-21,235.342
2015-02-22,235.342
2015-02-23,235.342
2015-02-24,235.342
2015-02-25,235.342
2015-02-26,235.342
2015-02-27,235.342
2015-02-28,235.342
2015-03-01,235.976
2015-03-02,235.976
2015-03-03,235.976
2015-03-04,235.976
2015-03-05,235.976
2015-03-06,235.976
2015-03-07,235.976
2015-03-08,235.976
2015-03-09,235.976
2015-03-10,235.976
2015-03-11,235.976
2015-03-12,235.976
2015-03-13,235.976
2015-03-14,235.976
2015-03-15,235.976
2015-03-16,235.976
2015-03-17,235.976
2015-03-18,235.976
2015-03-19,235.976
2015-03-20,235.976
2015-03-21,235.976
2015-03-22,235.976
2015-03-23,235.976
2015-03-24,235.976
2015-03-25,235.976
2015-03-26,235.976
2015-03-27,235.976
2015-03-28,235.976
2015-03-29,235.976
2015-03-30,235.976
2015-03-31,235.976
2015-04-01,236.222
2015-04-02,236.222
2015-04-03,236.222
2015-04-04,236.222
2015-04-05,236.222
2015-04-06,236.222
2015-04-07,236.222
2015-04-08,236.222
2015-04-09,236.222
2015-04-10,236.222
2015-04-11,236.222
2015-04-12,236.222
2015-04-13,236.222
2015-04-14,236.222
2015-04-15,236.222
2015-04-16,236.222
2015-04-17,236.222
2015-04-18,236.222
2015-04-19,236.222
2015-04-20,236.222
2015-04-21,236.222
2015-04-22,236.222
2015-04-23,236.222
2015-04-24,236.222
2015-04-25,236.222
2015-04-26,236.222
2015-04-27,236.222
2015-04-28,236.222
2015-04-29,236.222
2015-04-30,236.222
2015-05-01,237.001
2015-05-02,237.001
2015-05-03,237.001
2015-05-04,237.001
2015-05-05,237.001
2015-05-06,237.001
2015-05-07,237.001
2015-05-08,237.001
2015-05-09,237.001
2015-05-10,237.001
2015-05-11,237.001
2015-05-12,237.001
2015-05-13,237.001
2015-05-14,237.001
2015-05-15,237.001
2015-05-16,237.001
2015-05-17,237.001
2015-05-18,237.001
2015-05-19,237.001
2015-05-20,237.001
2015-05-21,237.001
2015-05-22,237.001
2015-05-23,237.001
2015-05-24,237.001
2015-05-25,237.001
2015-05-26,237.001
2015-05-27,237.001
2015-05-28,237.001
2015-05-29,237.001
2015-05-30,237.001
2015-05-31,237.001
2015-06-01,237.657
