Date,CPI_CPI,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Adj Close,XRP_Volume,DJIA_DJIA,STICKY_STICKY,Ethereum_Open,Ethereum_High,Ethereum_Low,Ethereum_Close,Ethereum_Adj Close,Ethereum_Volume,Litecoin_Open,Litecoin_High,Litecoin_Low,Litecoin_Close,Litecoin_Adj Close,Litecoin_Volume,Bitcoin_Open,Bitcoin_High,Bitcoin_Low,Bitcoin_Close,Bitcoin_Adj Close,Bitcoin_Volume,Cardano_Open,Cardano_High,Cardano_Low,Cardano_Close,Cardano_Adj Close,Cardano_Volume,10Y_Inflation_10Y_Inflation,VIX_OPEN,VIX_HIGH,VIX_LOW,VIX_CLOSE,real_interest_rate_10Y_real_interest_rate_10Y,SP500_SP500,BNB_Open,BNB_High,BNB_Low,BNB_Close,BNB_Adj Close,BNB_Volume
2014-09-18,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17265.99,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,5.06543,5.06543,4.57996,4.68523,4.68523,4569260,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,0.0,0.0,0.0,0.0,0.0,0.0,2.07,12.55,12.58,11.98,12.03,0.58085993,2011.36,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-19,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17279.74,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.68729,4.75582,4.25435,4.32777,4.32777,3917450,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,0.0,0.0,0.0,0.0,0.0,0.0,2.07,11.73,12.61,11.52,12.11,0.58085993,2010.4,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-20,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17244.053333333333,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.3292,4.61608,4.20219,4.28644,4.28644,5490660,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,0.0,0.0,0.0,0.0,0.0,0.0,2.07,12.2,13.066666666666666,12.056666666666668,12.636666666666668,0.58085993,2005.03,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-21,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17208.36666666667,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.26307,4.30013,4.15499,4.24592,4.24592,2931220,408.084991,412.425995,393.181,398.821014,398.821014,26580100,0.0,0.0,0.0,0.0,0.0,0.0,2.07,12.67,13.523333333333332,12.593333333333334,13.163333333333332,0.58085993,1999.66,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-22,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17172.68,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.24593,4.41688,4.21013,4.24235,4.24235,1855960,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,0.0,0.0,0.0,0.0,0.0,0.0,2.07,13.14,13.98,13.13,13.69,0.58085993,1994.29,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-23,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17055.87,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.23999,4.88135,4.18887,4.74657,4.74657,4661670,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,0.0,0.0,0.0,0.0,0.0,0.0,2.07,14.82,14.94,13.83,14.93,0.58085993,1982.77,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-24,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17210.06,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.7442,4.74512,4.62769,4.66679,4.66679,2662290,435.751007,436.112,421.131989,423.204987,423.204987,30627700,0.0,0.0,0.0,0.0,0.0,0.0,2.07,14.62,14.93,13.24,13.27,0.58085993,1998.3,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-25,237.477,0.0,0.0,0.0,0.0,0.0,0.0,16945.8,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.66588,4.67132,4.4487,4.51465,4.51465,2046960,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,0.0,0.0,0.0,0.0,0.0,0.0,2.07,14.11,16.69,14.03,15.64,0.58085993,1965.99,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-26,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17113.15,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.50993,4.55182,4.3888,4.43359,4.43359,1548350,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,0.0,0.0,0.0,0.0,0.0,0.0,2.07,15.77,15.98,14.31,14.85,0.58085993,1982.85,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-27,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17099.173333333336,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.43439,4.48924,4.39799,4.4218,4.4218,889525,403.556,406.622986,397.372009,399.519989,399.519989,15029300,0.0,0.0,0.0,0.0,0.0,0.0,2.07,16.166666666666668,16.346666666666668,14.69,15.226666666666668,0.58085993,1981.1666666666663,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-28,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17085.196666666667,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.42462,4.45761,4.20278,4.23323,4.23323,1741170,399.471008,401.016998,374.332001,377.181,377.181,23613300,0.0,0.0,0.0,0.0,0.0,0.0,2.07,16.563333333333333,16.71333333333333,15.07,15.603333333333332,0.58085993,1979.483333333333,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-29,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17071.22,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.23763,4.33025,4.1981,4.24679,4.24679,1712650,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,0.0,0.0,0.0,0.0,0.0,0.0,2.07,16.96,17.08,15.45,15.98,0.58085993,1977.8,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-30,237.477,0.0,0.0,0.0,0.0,0.0,0.0,17042.9,1.954047,0.0,0.0,0.0,0.0,0.0,0.0,4.25219,4.54901,4.22593,4.47473,4.47473,2456420,376.088013,390.97699,373.442993,386.944,386.944,34707300,0.0,0.0,0.0,0.0,0.0,0.0,2.07,15.49,16.43,15.18,16.31,0.58085993,1972.29,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16804.71,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.47096,4.50374,4.38486,4.42856,4.42856,1172180,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.44,17.56,16.08,16.71,0.7009647,1946.16,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-02,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16801.05,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.43015,4.46348,4.28623,4.32266,4.32266,1124950,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.7,17.98,15.9,16.16,0.7009647,1946.17,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-03,237.43,0.0,0.0,0.0,0.0,0.0,0.0,17009.69,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.31936,4.34031,4.16404,4.17512,4.17512,1471270,375.181,377.695007,357.859009,359.511993,359.511993,30901200,0.0,0.0,0.0,0.0,0.0,0.0,1.92,15.16,15.43,14.44,14.55,0.7009647,1967.9,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-04,237.43,0.0,0.0,0.0,0.0,0.0,0.0,17003.763333333332,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.17313,4.28404,3.88801,3.9382,3.9382,6948810,359.891998,364.487,325.885986,328.865997,328.865997,47236500,0.0,0.0,0.0,0.0,0.0,0.0,1.92,14.926666666666668,15.543333333333331,14.31,14.853333333333332,0.7009647,1966.8733333333328,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-05,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16997.836666666666,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.94207,4.04342,3.4806,3.69914,3.69914,8143680,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,0.0,0.0,0.0,0.0,0.0,0.0,1.92,14.693333333333332,15.656666666666666,14.18,15.156666666666668,0.7009647,1965.8466666666664,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-06,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16991.91,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.70305,3.91486,3.57225,3.82237,3.82237,9482680,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,0.0,0.0,0.0,0.0,0.0,0.0,1.92,14.46,15.77,14.05,15.46,0.7009647,1964.82,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-07,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16719.39,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.81333,3.94986,3.68821,3.85863,3.85863,7096400,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.18,17.46,15.97,17.2,0.7009647,1935.1,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-08,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16994.22,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.85547,3.92989,3.74783,3.90789,3.90789,5850860,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,0.0,0.0,0.0,0.0,0.0,0.0,1.92,17.35,18.03,14.97,15.11,0.7009647,1968.89,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-09,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16659.25,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.90862,4.02876,3.86529,3.90066,3.90066,8316140,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,0.0,0.0,0.0,0.0,0.0,0.0,1.92,15.64,19.38,15.34,18.76,0.7009647,1928.21,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-10,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16544.1,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.89886,3.91589,3.77425,3.80739,3.80739,6313690,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,0.0,0.0,0.0,0.0,0.0,0.0,1.92,19.11,22.06,18.14,21.24,0.7009647,1906.13,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-11,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16469.756666666664,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.79592,3.83897,3.67792,3.77266,3.77266,3498570,361.362,367.19101,355.950989,362.299011,362.299011,13345200,0.0,0.0,0.0,0.0,0.0,0.0,1.92,19.793333333333333,22.92,18.933333333333334,22.37333333333333,0.7009647,1895.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-12,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16395.413333333334,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.77658,3.85147,3.69604,3.85033,3.85033,2712090,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,0.0,0.0,0.0,0.0,0.0,0.0,1.92,20.476666666666667,23.78,19.726666666666667,23.506666666666668,0.7009647,1885.2033333333327,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-13,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16321.07,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.84644,3.89574,3.79118,3.86178,3.86178,4200710,377.92099,397.226013,368.897003,390.414001,390.414001,35221400,0.0,0.0,0.0,0.0,0.0,0.0,1.92,21.16,24.64,20.52,24.64,0.7009647,1874.74,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-14,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16315.19,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.86452,4.22911,3.86452,4.07591,4.07591,8247860,391.691986,411.697998,391.324005,400.869995,400.869995,38491500,0.0,0.0,0.0,0.0,0.0,0.0,1.92,23.77,24.55,21.48,22.79,0.7009647,1877.7,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-15,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16141.74,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.07699,4.07699,3.99275,4.05642,4.05642,4837180,400.954987,402.22699,388.765991,394.77301,394.77301,25267100,0.0,0.0,0.0,0.0,0.0,0.0,1.92,26.36,31.06,24.64,26.25,0.7009647,1862.49,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-16,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16117.24,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.05774,4.0968,3.95876,3.99089,3.99089,4204880,394.518005,398.807007,373.070007,382.556,382.556,26990000,0.0,0.0,0.0,0.0,0.0,0.0,1.92,29.26,29.41,24.61,25.2,0.7009647,1862.76,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-17,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16380.41,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.99144,4.01603,3.95391,3.99327,3.99327,3561280,382.756012,385.477997,375.389008,383.757996,383.757996,13600700,0.0,0.0,0.0,0.0,0.0,0.0,1.92,21.68,23.08,20.23,21.99,0.7009647,1886.76,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-18,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16386.829999999998,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.99163,4.08773,3.95471,4.05576,4.05576,2386140,383.976013,395.15799,378.971008,391.441986,391.441986,11416800,0.0,0.0,0.0,0.0,0.0,0.0,1.92,21.82333333333333,22.773333333333333,19.656666666666663,20.85,0.7009647,1892.51,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-19,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16393.25,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,4.05643,4.06146,3.97444,3.98894,3.98894,1576340,391.253998,393.938995,386.457001,389.54599,389.54599,5914570,0.0,0.0,0.0,0.0,0.0,0.0,1.92,21.966666666666665,22.466666666666665,19.083333333333336,19.71,0.7009647,1898.26,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-20,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16399.67,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.98357,3.98357,3.87748,3.90983,3.90983,2252890,389.230988,390.084015,378.252014,382.845001,382.845001,16419000,0.0,0.0,0.0,0.0,0.0,0.0,1.92,22.11,22.16,18.51,18.57,0.7009647,1904.01,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-21,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16614.81,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.9118,3.96994,3.90036,3.94001,3.94001,1948840,382.42099,392.645996,380.834015,386.475006,386.475006,14188900,0.0,0.0,0.0,0.0,0.0,0.0,1.92,17.72,17.75,16.03,16.08,0.7009647,1941.28,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-22,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16461.32,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.94095,3.95996,3.83858,3.84332,3.84332,2094200,386.118011,388.575989,382.248993,383.15799,383.15799,11641300,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.06,18.43,15.56,17.87,0.7009647,1927.11,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-23,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16677.9,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.84697,3.86606,3.72657,3.73965,3.73965,3191780,382.962006,385.048004,356.446991,358.416992,358.416992,26456900,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.07,17.06,15.68,16.53,0.7009647,1950.82,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-24,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16805.41,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.73949,3.77981,3.7245,3.74753,3.74753,3557710,358.591003,364.345001,353.304993,358.345001,358.345001,15585700,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.43,18.06,16.09,16.11,0.7009647,1964.58,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-25,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16809.586666666666,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.74873,3.75984,3.62904,3.66755,3.66755,2370430,358.610992,359.860992,342.877014,347.270996,347.270996,18127500,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.7,17.996666666666666,16.06,16.086666666666666,0.7009647,1963.5966666666664,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-26,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16813.763333333332,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.66895,3.76737,3.66153,3.72718,3.72718,1986590,347.487,359.221008,343.931,354.70401,354.70401,11272500,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.97,17.933333333333334,16.03,16.063333333333333,0.7009647,1962.6133333333328,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-27,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16817.94,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.72406,3.89332,3.71307,3.80731,3.80731,2694530,354.777008,358.631989,349.80899,352.989014,352.989014,13033000,0.0,0.0,0.0,0.0,0.0,0.0,1.92,17.24,17.87,16.0,16.04,0.7009647,1961.63,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-28,237.43,0.0,0.0,0.0,0.0,0.0,0.0,17005.75,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.81227,3.89658,3.79468,3.84607,3.84607,2222000,353.214996,359.984009,352.678986,357.618011,357.618011,7845880,0.0,0.0,0.0,0.0,0.0,0.0,1.92,15.69,15.78,14.39,14.39,0.7009647,1985.05,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-29,237.43,0.0,0.0,0.0,0.0,0.0,0.0,16974.31,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.85288,3.85333,3.7204,3.72695,3.72695,2551500,357.088989,357.833008,335.342987,335.591003,335.591003,18192700,0.0,0.0,0.0,0.0,0.0,0.0,1.92,14.61,16.28,14.19,15.15,0.7009647,1982.3,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-30,237.43,0.0,0.0,0.0,0.0,0.0,0.0,17195.42,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.7345,3.81917,3.71953,3.78586,3.78586,2667440,335.709015,350.912994,335.071991,345.304993,345.304993,30177900,0.0,0.0,0.0,0.0,0.0,0.0,1.92,15.31,15.75,14.07,14.52,0.7009647,1994.65,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-31,237.43,0.0,0.0,0.0,0.0,0.0,0.0,17390.52,2.0060187,0.0,0.0,0.0,0.0,0.0,0.0,3.78465,3.80454,3.74532,3.754,3.754,2303900,345.009003,348.045013,337.141998,338.321014,338.321014,12545400,0.0,0.0,0.0,0.0,0.0,0.0,1.92,13.84,14.83,13.72,14.03,0.7009647,2018.05,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,236.983,0.0,0.0,0.0,0.0,0.0,0.0,17382.426666666666,2.0043657,0.0,0.0,0.0,0.0,0.0,0.0,3.75666,3.75715,3.5591,3.57059,3.57059,2476220,338.649994,340.528992,321.054993,325.748993,325.748993,16677200,0.0,0.0,0.0,0.0,0.0,0.0,1.88,14.03,14.883333333333333,13.89,14.263333333333334,0.71330026,2017.97,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-02,236.983,0.0,0.0,0.0,0.0,0.0,0.0,17374.333333333336,2.0043657,0.0,0.0,0.0,0.0,0.0,0.0,3.57688,3.62291,3.5545,3.5851,3.5851,2031400,326.075012,329.049988,320.626007,325.891998,325.891998,8603620,0.0,0.0,0.0,0.0,0.0,0.0,1.88,14.22,14.936666666666667,14.06,14.496666666666666,0.71330026,2017.89,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-03,236.983,0.0,0.0,0.0,0.0,0.0,0.0,17366.24,2.0043657,0.0,0.0,0.0,0.0,0.0,0.0,3.58591,3.66175,3.55639,3.57806,3.57806,2034500,325.569,334.002014,325.480988,327.553986,327.553986,12948500,0.0,0.0,0.0,0.0,0.0,0.0,1.88,14.41,14.99,14.23,14.73,0.71330026,2017.81,0.0,0.0,0.0,0.0,0.0,0.0
